"","p0Fitted","kgFitted","TgFitted","khFitted","ThFitted","type","freq","rss"
"292",94.1,4.13,50,3.84,49.5,"saddle",1,187.9004780591
"293",94.1,3.29,50,3,49.4,"saddle",1,190.594580889255
"294",94.1,3.91,50,3.61,49.5,"saddle",1,189.229731612859
"295",93.5,0.34,50,0.01,38.6,"saddle",1,192.555989553038
"296",94.1,3.93,50,3.64,49.5,"saddle",1,190.130714729594
"297",94.1,4.53,50,4.23,49.6,"saddle",1,187.123976097497
"298",94.4,5,42.2,4.73,41.1,"saddle",1,182.215736868991
"299",94.5,5,40.5,4.74,39.3,"saddle",1,171.497715465428
"300",94.1,4.62,50,4.33,49.6,"saddle",1,192.76454832269
"301",94.1,4.03,50,3.73,49.5,"saddle",1,190.724056399739
"302",94.1,4.9,50,4.61,49.6,"saddle",1,189.59546934883
"303",94.1,4.35,50,4.06,49.5,"saddle",1,186.282295944045
"304",94.2,5,47.8,4.71,47.2,"saddle",1,185.263367366984
"305",94.1,3.88,50,3.59,49.5,"saddle",1,190.801244435974
"306",94.1,4.11,50,3.81,49.5,"saddle",1,191.864875213935
"307",94.1,4.58,50,4.29,49.6,"saddle",1,193.29119195628
"308",95.2,5,33.2,4.8,31.5,"saddle",1,138.962111703795
"309",94.1,4.71,50,4.41,49.6,"saddle",1,188.352899642784
"310",94.1,4.26,50,3.96,49.5,"saddle",1,194.31570917752
"311",94.1,4.34,50,4.04,49.5,"saddle",1,195.789113257815
"312",94.1,4.67,50,4.37,49.6,"saddle",1,188.04746636778
"313",94.6,5,39.9,4.74,38.7,"saddle",1,169.753749035021
"314",94.1,4.96,50,4.67,49.6,"saddle",1,189.03418791481
"315",94.1,4.33,50,4.03,49.5,"saddle",1,195.598611397607
"316",94.1,3.95,50,3.66,49.5,"saddle",1,189.875155547383
"317",94.1,4.15,50,3.85,49.5,"saddle",1,192.478665307916
"318",94.1,4.25,50,3.96,49.5,"saddle",1,186.909381551863
"319",94.1,4.5,50,4.21,49.6,"saddle",1,194.399917772881
"320",94.1,4.97,50,4.67,49.6,"saddle",1,190.78865414436
