"","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","type","freq","rss"
"436",100.1,1.69,32.5,6.4,1.04,31.7,"saddle",1,0.930493659605355
"438",100.1,1.67,39.3,6.3,1.04,42.2,"minimum",1,0.730393763389467
"439",100,1.56,28.4,5.9,1.05,22.9,"minimum",1,2.36959677339498
"441",100.1,1.65,30,6.2,1.04,26.9,"saddle",1,1.62938378958288
"443",100.1,1.68,38.5,6.3,1.04,41,"minimum",1,6.93589962925556
"444",100.1,1.68,38.6,6.3,1.04,41.2,"minimum",1,5.8991214503052
"446",100.1,1.69,36.9,6.4,1.04,38.6,"saddle",1,2.81390692385912
"448",100.1,1.68,31.5,6.4,1.04,29.9,"saddle",1,2.2406660808927
"451",100.1,1.69,32.8,6.4,1.04,32,"saddle",1,0.831540648663289
"453",100.1,1.59,28.9,6,1.05,24.1,"minimum",1,0.451683432244329
"455",100.1,1.66,41,6.3,1.04,44.8,"minimum",1,0.346439781744871
"457",100.1,1.66,41.2,6.3,1.04,45.1,"minimum",1,0.201647469059636
"459",100.1,1.6,29,6.1,1.04,24.5,"minimum",1,0.150509999157102
"460",100.1,1.65,42.6,6.2,1.04,46.9,"minimum",1,5.35055626726009
"464",100.6,5,20.5,14.5,0.8,24.9,"saddle",1,42.1203246364028
"465",100.1,1.68,38.1,6.4,1.04,40.4,"saddle",1,0.414606547968433
"467",100.1,1.68,31.3,6.3,1.04,29.5,"saddle",1,1.6684451650993
"468",100.1,1.68,37.6,6.4,1.04,39.8,"saddle",1,2.2161963082677
"470",100.1,1.66,40.5,6.3,1.04,44.1,"minimum",1,2.17645972943014
"471",100.1,1.62,29.3,6.1,1.04,25.1,"minimum",1,8.81064819588499
"472",100.1,1.69,31.9,6.4,1.04,30.4,"saddle",1,4.66691620643522
"473",100.1,1.68,38.8,6.3,1.04,41.4,"minimum",1,11.2711054607032
"474",100.1,1.69,35.9,6.4,1.04,37,"saddle",1,1.54404041857993
"475",100.1,1.69,36.2,6.4,1.04,37.7,"saddle",1,0.497342335117817
"476",100.1,1.68,38.9,6.3,1.04,41.6,"minimum",1,9.91745854486816
"477",100.1,1.61,29.1,6.1,1.04,24.7,"minimum",1,3.14457628987127
